Category,Type,Name,File,Line,Column,Context
dataSinks,write_operation,create,d:\CodeAnalysis\TravelCrafter\app.js,50,14,"// This is to store the session information on Atlas DB. Previsously it was on localhost
const store = MongoStore.create({
    mongoUrl:dbUrl,
    crypto:{
        secret: process.env.SESSION_SECRET,
    },
    touchAfter: 24 * 3600 , // This means that the session will be updated in the database only if it has been modified in the last 24 hours.
});"
dataSinks,write_operation,save,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,99,10,"await newListing.save();
    req.flash(""success"",""New Listing created!"");"
dataSinks,write_operation,findByIdAndUpdate,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,123,24,"let {id}= req.params;
    let listing = await Listing.findByIdAndUpdate(id, {...req.body.listing});"
dataSinks,write_operation,save,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,129,14,"listing.image = {url, filename};
        await listing.save();
    }"
dataSinks,write_operation,findByIdAndDelete,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,140,31,"let {id}= req.params;
    let deletedListing = await Listing.findByIdAndDelete(id);
    // console.log(deletedListing);"
dataSinks,write_operation,save,d:\CodeAnalysis\TravelCrafter\controllers\reviews.js,11,10,"await newReview.save();
    await listing.save();"
dataSinks,write_operation,save,d:\CodeAnalysis\TravelCrafter\controllers\reviews.js,12,10,"await newReview.save();
    await listing.save();
    req.flash(""success"",""New Review created!"");"
dataSinks,write_operation,findByIdAndUpdate,d:\CodeAnalysis\TravelCrafter\controllers\reviews.js,20,10,"let {id, reviewId} = req.params;
    await Listing.findByIdAndUpdate(id,{$pull:{reviews:reviewId}})
    await Review.findByIdAndDelete(reviewId);"
dataSinks,write_operation,findByIdAndDelete,d:\CodeAnalysis\TravelCrafter\controllers\reviews.js,21,10,"await Listing.findByIdAndUpdate(id,{$pull:{reviews:reviewId}})
    await Review.findByIdAndDelete(reviewId);
    req.flash(""success"",""Review deleted!"");"
dataSinks,write_operation,deleteMany,d:\CodeAnalysis\TravelCrafter\init\index.js,36,8,"const initDB = async () => {
  await Listing.deleteMany({});
  initData.data = initData.data.map((obj)=>({...obj, owner: process.env.DB_ADMIN_ID}));"
dataSinks,write_operation,deleteMany,d:\CodeAnalysis\TravelCrafter\models\listing.js,52,14,"if(listing){
        await Review.deleteMany({_id: {$in: listing.reviews}});
    }"
dataSinks,write_operation,post,d:\CodeAnalysis\TravelCrafter\models\listing.js,50,0,"// The below code is for deleting reviews when a listing is deleted
listingSchema.post(""findOneAndDelete"",async(listing)=>{
    if(listing){
        await Review.deleteMany({_id: {$in: listing.reviews}});
    }
})"
dataSinks,write_operation,post,d:\CodeAnalysis\TravelCrafter\routes\listing.js,15,0,"// listings routes
router
    .route(""/"")
    .get(wrapAsync(ListingController.index)) //Index route
    .post(isLoggedIn, upload.single('listing[image]') , validateListing , wrapAsync(ListingController.createListing)) //Create route"
dataSinks,write_operation,post,d:\CodeAnalysis\TravelCrafter\routes\listing.js,26,0,"// Category Route
router.post(""/category"", wrapAsync(ListingController.showCategory));"
dataSinks,write_operation,put,d:\CodeAnalysis\TravelCrafter\routes\listing.js,33,0,"// listings/:id routes
router
    .route(""/:id"")
    .get(wrapAsync(ListingController.showListing))  //Show route
    .put(isLoggedIn, isOwner, upload.single('listing[image]'), validateListing , wrapAsync(ListingController.updateListing)) //Update route
    .delete(isLoggedIn, isOwner, wrapAsync(ListingController.deleteListing)) // Delete route"
dataSinks,write_operation,delete,d:\CodeAnalysis\TravelCrafter\routes\listing.js,33,0,"// listings/:id routes
router
    .route(""/:id"")
    .get(wrapAsync(ListingController.showListing))  //Show route
    .put(isLoggedIn, isOwner, upload.single('listing[image]'), validateListing , wrapAsync(ListingController.updateListing)) //Update route
    .delete(isLoggedIn, isOwner, wrapAsync(ListingController.deleteListing)) // Delete route"
dataSinks,write_operation,post,d:\CodeAnalysis\TravelCrafter\routes\review.js,10,0,"//Post Reviews 
router.post(""/"", isLoggedIn, validateReview, wrapAsync(reviewController.createReview));"
dataSinks,write_operation,delete,d:\CodeAnalysis\TravelCrafter\routes\review.js,14,0,"// Delete Review Route
router.delete(""/:reviewId"", 
        isLoggedIn,
        isReviewAuthor,
        wrapAsync(reviewController.deleteReview));"
dataSinks,write_operation,post,d:\CodeAnalysis\TravelCrafter\routes\user.js,10,0,"router
    .route(""/signup"")
    .get(userController.renderSignupForm)
    .post(wrapAsync(userController.signup))"
dataSinks,write_operation,post,d:\CodeAnalysis\TravelCrafter\routes\user.js,16,0,"router
    .route(""/login"")
    .get(userController.renderLoginForm)
    .post( saveRedirectUrl , passport.authenticate(""local"", {failureRedirect: '/login', failureFlash :true}), userController.login)"
dataSources,read_operation,get,d:\CodeAnalysis\TravelCrafter\app.js,103,0,"app.get(""/"",(req,res)=>{
    res.redirect(""/listings"");
})"
dataSources,read_operation,find,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,9,30,"module.exports.index = (async(req,res)=>{
    const allListings = await Listing.find({});
    // console.log(allListings);"
dataSources,read_operation,findById,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,21,26,"let {id}= req.params;
    const listing = await Listing.findById(id)
    .populate("
dataSources,read_operation,find,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,43,30,"const allListings = await Listing.find({category:selectedCategory})
    // console.log(allListings);"
dataSources,read_operation,find,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,61,30,"// Find listings matching the regex pattern for the country
    const allListings = await Listing.find({ country: { $regex: regexPattern } });
    // console.log(allListings);"
dataSources,read_operation,findById,d:\CodeAnalysis\TravelCrafter\controllers\listings.js,108,26,"let {id}= req.params;
    const listing = await Listing.findById(id);
    // console.log(listing.image);"
